,Ind,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Asset Volume,Ignore
2021-04-20 23:37:46.025024064,2886,1618977600000.0,0.041379,0.041813,0.041342,0.04148,49955.711,1618991999999.0,2076.10691922,58569.0,22194.675,922.32934089,0.0
2021-04-21 03:37:51.799807512,2887,1618992000000.0,0.041482,0.041557,0.041012,0.041509,47694.874,1619006399999.0,1971.12293044,62802.0,24198.345,1000.0110177,0.0
2021-04-21 07:37:57.574590952,2888,1619006400000.0,0.041509,0.043559,0.041503,0.043496,103788.383,1619020799999.0,4444.49105105,117375.0,49804.508,2131.410743,0.0
2021-04-21 11:38:03.349374400,2889,1619020800000.0,0.043505,0.044027,0.043329,0.043925,56289.923,1619035199999.0,2456.94641857,71502.0,29153.67,1272.76265358,0.0
2021-04-21 15:38:09.124157848,2890,1619035200000.0,0.043928,0.044,0.0433,0.043815,49716.163,1619049599999.0,2171.60193336,82792.0,24880.933,1086.83947635,0.0
2021-04-21 19:38:14.898941288,2891,1619049600000.0,0.043817,0.045,0.043482,0.044678,83561.406,1619063999999.0,3720.37244953,102442.0,41211.069,1834.67416986,0.0
2021-04-21 23:38:20.673724736,2892,1619064000000.0,0.044678,0.045786,0.044492,0.045651,76603.316,1619078399999.0,3462.97953257,85271.0,39317.234,1777.93399974,0.0
2021-04-22 03:38:26.448508184,2893,1619078400000.0,0.045656,0.046988,0.045267,0.046374,108817.9,1619092799999.0,5013.13716839,128183.0,52438.726,2416.75120949,0.0
2021-04-22 07:38:32.223291624,2894,1619092800000.0,0.04638,0.047784,0.046324,0.047751,94644.86,1619107199999.0,4450.80343732,107798.0,48120.808,2263.49884193,0.0
2021-04-22 11:38:37.998075072,2895,1619107200000.0,0.047754,0.048195,0.0471,0.04791,102853.093,1619121599999.0,4903.53978526,136056.0,54234.038,2585.75947834,0.0
2021-04-22 15:38:43.772858520,2896,1619121600000.0,0.04791,0.048,0.04555,0.04639,102644.377,1619135999999.0,4792.34040129,155594.0,51389.604,2397.49044284,0.0
2021-04-22 19:38:49.547641968,2897,1619136000000.0,0.04639,0.046918,0.0435,0.045381,134868.415,1619150399999.0,6114.99498478,172639.0,62535.662,2838.16367792,0.0
2021-04-22 23:38:55.322425408,2898,1619150400000.0,0.04538,0.045414,0.0439,0.044487,104735.167,1619164799999.0,4693.63733621,118949.0,54418.976,2439.23918574,0.0
2021-04-23 03:39:01.097208856,2899,1619164800000.0,0.044484,0.046227,0.04434,0.045839,82666.859,1619179199999.0,3757.25514494,92418.0,40722.366,1849.15124553,0.0
2021-04-23 07:39:06.871992304,2900,1619179200000.0,0.04584,0.046965,0.045181,0.046833,52017.271,1619193599999.0,2385.98829221,56547.0,27696.998,1270.72944243,0.0
2021-04-23 11:39:12.646775744,2901,1619193600000.0,0.046848,0.047026,0.045903,0.046479,46273.57,1619207999999.0,2152.98891911,60467.0,22456.196,1044.18630614,0.0
2021-04-23 15:39:18.421559192,2902,1619208000000.0,0.046461,0.046558,0.045689,0.04632,34426.413,1619222399999.0,1586.84123241,51022.0,17793.881,819.83436962,0.0
2021-04-23 19:39:24.196342640,2903,1619222400000.0,0.046315,0.04632,0.045136,0.045835,44902.359,1619236799999.0,2050.41061909,54451.0,26717.601,1219.53630378,0.0
2021-04-23 23:39:29.971126080,2904,1619236800000.0,0.04584,0.046198,0.04534,0.045635,20508.85,1619251199999.0,939.33411073,32585.0,11383.466,521.51396724,0.0
2021-04-24 03:39:35.745909528,2905,1619251200000.0,0.045634,0.045918,0.044231,0.044411,39652.931,1619265599999.0,1787.88879051,48554.0,20296.343,915.06028574,0.0
2021-04-24 07:39:41.520692976,2906,1619265600000.0,0.044411,0.045074,0.04425,0.044823,25796.436,1619279999999.0,1153.03669214,33586.0,13026.775,582.20789403,0.0
2021-04-24 11:39:47.295476424,2907,1619280000000.0,0.044826,0.0451,0.044541,0.044805,13851.415,1619294399999.0,621.25986768,24366.0,6985.085,313.30009006,0.0
2021-04-24 15:39:53.070259864,2908,1619294400000.0,0.044799,0.045072,0.044101,0.044222,19502.332,1619308799999.0,871.1705288,27335.0,9056.366,404.48636337,0.0
2021-04-24 19:39:58.845043312,2909,1619308800000.0,0.044222,0.044752,0.04371,0.044068,20340.016,1619323199999.0,902.87437216,22692.0,9460.242,420.00471453,0.0
2021-04-24 23:40:04.619826760,2910,1619323200000.0,0.044074,0.044121,0.04404,0.044121,14.833,1619323259206.0,0.65375634,84.0,9.722,0.42853799,0.0
2021-04-25 03:40:10.394610200,2911,1619337600000.0,0.044121,0.046297,0.044121,0.046183,40639.712,1619351999999.0,1852.42879827,47233.0,18775.724,854.93643539,0.0
2021-04-25 07:40:16.169393648,2912,1619352000000.0,0.046175,0.046696,0.046117,0.046598,44409.698,1619366399999.0,2061.96886203,43408.0,23249.891,1079.15253713,0.0
2021-04-25 11:40:21.944177096,2913,1619366400000.0,0.046604,0.046808,0.045897,0.045983,35179.484,1619380799999.0,1633.90978165,41659.0,19766.102,917.88267632,0.0
